"Mortality rate, per 1,000 of the mean population by age, sex and year"

"age"	"sex"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"
"0 years"	"men"	3.99	4.01	3.50	3.60	3.29	2.52	3.03	2.68	2.50	2.57	2.69	2.24	2.87	2.87	2.56	2.79	2.61	2.46	2.22	2.24
"0 years"	"women"	2.81	3.27	3.02	2.58	2.92	2.33	2.57	2.30	2.47	2.40	2.38	1.96	2.29	2.50	1.79	2.10	2.36	2.35	1.83	1.89
"0 years"	"men and women"	3.42	3.65	3.27	3.11	3.11	2.43	2.80	2.49	2.49	2.49	2.54	2.10	2.59	2.69	2.18	2.45	2.49	2.41	2.03	2.07
"1-4 years"	"men"	0.13	0.19	0.25	0.25	0.11	0.23	0.17	0.14	0.13	0.24	0.16	0.16	0.15	0.12	0.11	0.15	0.13	0.10	0.15	0.10
"1-4 years"	"women"	0.12	0.19	0.13	0.14	0.14	0.19	0.18	0.19	0.14	0.15	0.14	0.11	0.10	0.11	0.11	0.11	0.13	0.11	0.14	0.14
"1-4 years"	"men and women"	0.12	0.19	0.19	0.20	0.13	0.21	0.17	0.17	0.14	0.20	0.15	0.13	0.13	0.11	0.11	0.13	0.13	0.10	0.14	0.12
"5-9 years"	"men"	0.10	0.08	0.06	0.11	0.07	0.14	0.12	0.08	0.07	0.11	0.05	0.08	0.08	0.06	0.06	0.06	0.09	0.06	0.04	0.06
"5-9 years"	"women"	0.09	0.10	0.08	0.07	0.11	0.07	0.06	0.09	0.05	0.08	0.08	0.10	0.05	0.07	0.09	0.07	0.08	0.06	0.06	0.05
"5-9 years"	"men and women"	0.10	0.09	0.07	0.09	0.09	0.10	0.09	0.09	0.06	0.09	0.06	0.09	0.07	0.06	0.07	0.07	0.08	0.06	0.05	0.05
"10-14 years"	"men"	0.14	0.12	0.13	0.11	0.11	0.12	0.12	0.10	0.12	0.14	0.10	0.09	0.10	0.11	0.08	0.09	0.06	0.10	0.12	0.06
"10-14 years"	"women"	0.13	0.12	0.09	0.09	0.09	0.08	0.06	0.06	0.10	0.08	0.08	0.09	0.11	0.05	0.06	0.13	0.10	0.08	0.09	0.07
"10-14 years"	"men and women"	0.13	0.12	0.11	0.10	0.10	0.10	0.09	0.08	0.11	0.11	0.09	0.09	0.10	0.08	0.07	0.11	0.08	0.09	0.11	0.07
"15-19 years"	"men"	0.47	0.39	0.40	0.38	0.40	0.36	0.40	0.44	0.37	0.33	0.34	0.36	0.30	0.32	0.30	0.31	0.27	0.31	0.31	0.31
"15-19 years"	"women"	0.23	0.20	0.25	0.30	0.23	0.16	0.22	0.21	0.20	0.21	0.20	0.20	0.18	0.16	0.18	0.15	0.12	0.16	0.19	0.17
"15-19 years"	"men and women"	0.36	0.30	0.33	0.34	0.32	0.26	0.31	0.32	0.29	0.27	0.27	0.28	0.24	0.24	0.24	0.23	0.20	0.24	0.25	0.24
"20-24 years"	"men"	0.76	0.82	0.80	0.70	0.85	0.66	0.68	0.70	0.72	0.67	0.66	0.62	0.63	0.61	0.65	0.67	0.51	0.63	0.64	0.63
"20-24 years"	"women"	0.25	0.21	0.25	0.24	0.24	0.27	0.32	0.24	0.23	0.22	0.25	0.25	0.21	0.25	0.24	0.24	0.24	0.21	0.30	0.26
"20-24 years"	"men and women"	0.51	0.52	0.53	0.48	0.55	0.47	0.50	0.47	0.48	0.45	0.46	0.44	0.43	0.43	0.45	0.46	0.38	0.43	0.48	0.45
"25-29 years"	"men"	0.74	0.67	0.62	0.63	0.67	0.73	0.62	0.75	0.72	0.69	0.73	0.65	0.73	0.76	0.69	0.80	0.72	0.81	0.71	0.65
"25-29 years"	"women"	0.26	0.24	0.28	0.32	0.28	0.25	0.24	0.24	0.33	0.24	0.26	0.31	0.21	0.32	0.28	0.29	0.26	0.28	0.27	0.28
