"Mortality rate, per 1,000 of the mean population by age, sex and year"
"age"	"sex"	"2000"	"2001"	"2002"	"2003"	"2004"	"2005"	"2006"	"2007"	"2008"	"2009"	"2010"	"2011"	"2012"	"2013"	"2014"	"2015"	"2016"	"2017"	"2018"	"2019"
"0 years"	"men and women"	3.42	3.65	3.27	3.11	3.11	2.43	2.80	2.49	2.49	2.49	2.54	2.10	2.59	2.69	2.18	2.45	2.49	2.41	2.03	2.07
"1-4 years"	"men and women"	0.12	0.19	0.19	0.20	0.13	0.21	0.17	0.17	0.14	0.20	0.15	0.13	0.13	0.11	0.11	0.13	0.13	0.10	0.14	0.12
"5-9 years"	"men and women"	0.10	0.09	0.07	0.09	0.09	0.10	0.09	0.09	0.06	0.09	0.06	0.09	0.07	0.06	0.07	0.07	0.08	0.06	0.05	0.05
"10-14 years"	"men and women"	0.13	0.12	0.11	0.10	0.10	0.10	0.09	0.08	0.11	0.11	0.09	0.09	0.10	0.08	0.07	0.11	0.08	0.09	0.11	0.07
"15-19 years"	"men and women"	0.36	0.30	0.33	0.34	0.32	0.26	0.31	0.32	0.29	0.27	0.27	0.28	0.24	0.24	0.24	0.23	0.20	0.24	0.25	0.24
"20-24 years"	"men and women"	0.51	0.52	0.53	0.48	0.55	0.47	0.50	0.47	0.48	0.45	0.46	0.44	0.43	0.43	0.45	0.46	0.38	0.43	0.48	0.45
"25-29 years"	"men and women"	0.50	0.46	0.45	0.47	0.48	0.50	0.43	0.50	0.53	0.47	0.50	0.49	0.48	0.54	0.49	0.55	0.50	0.55	0.50	0.47
"30-34 years"	"men and women"	0.52	0.56	0.55	0.50	0.48	0.49	0.50	0.48	0.54	0.48	0.50	0.53	0.49	0.52	0.62	0.55	0.58	0.55	0.55	0.50
"35-39 years"	"men and women"	0.82	0.81	0.72	0.74	0.69	0.70	0.70	0.68	0.63	0.69	0.57	0.62	0.67	0.65	0.56	0.61	0.65	0.64	0.62	0.63
"40-44 years"	"men and women"	1.24	1.23	1.21	1.22	1.11	1.09	1.07	1.06	1.07	1.02	0.91	0.91	0.88	0.88	0.92	0.85	0.89	0.90	0.87	0.86
"45-49 years"	"men and women"	2.15	2.16	1.95	2.00	1.93	1.83	1.73	1.80	1.66	1.66	1.58	1.56	1.57	1.49	1.49	1.37	1.43	1.38	1.28	1.20
"50-54 years"	"men and women"	3.39	3.39	3.20	3.17	3.14	3.15	3.10	2.98	2.96	2.94	2.69	2.61	2.64	2.62	2.47	2.36	2.24	2.21	2.19	2.03
"55-59 years"	"men and women"	5.40	5.41	5.39	5.07	5.08	5.09	4.86	4.72	4.63	4.57	4.41	4.40	4.16	4.09	4.02	4.07	3.83	3.66	3.63	3.49
"60-64 years"	"men and women"	8.83	8.40	8.31	8.21	8.01	7.95	7.85	7.69	7.66	7.35	7.48	6.95	6.85	6.89	6.70	6.64	6.68	6.47	6.37	6.02
"65-69 years"	"men and women"	14.27	14.26	14.04	13.71	13.13	13.31	12.54	12.60	12.31	11.67	11.61	11.41	11.34	11.23	11.04	10.91	10.73	10.45	10.71	9.96
"70-74 years"	"men and women"	24.02	23.48	23.47	23.06	22.25	21.70	21.23	20.07	19.73	19.64	19.19	18.70	18.59	18.09	17.55	17.67	17.65	17.21	17.32	16.47
"75-79 years"	"men and women"	41.38	40.68	40.58	39.22	37.27	37.37	36.41	35.95	34.67	33.95	34.53	33.16	33.08	31.92	30.74	30.80	30.39	29.95	29.52	27.97
"80-84 years"	"men and women"	73.96	71.80	72.34	71.10	68.17	68.24	66.84	66.23	65.19	62.88	62.18	61.12	61.77	60.12	57.89	58.37	56.91	56.59	55.74	52.44
"85-89 years"	"men and women"	131.50	131.92	133.57	128.10	123.52	122.82	120.33	121.19	120.81	118.75	116.81	115.46	117.86	112.14	109.43	110.47	107.62	109.63	107.44	101.73
"90+ years"	"men and women"	245.21	248.88	256.59	244.83	235.92	240.35	240.53	244.76	243.86	235.75	235.67	231.53	238.89	233.14	226.22	231.68	232.57	235.55	231.67	219.82
