"Country or Area";"Year";"Area";"Month";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Sweden";"2020";"Total";"January";"Data tabulated by year of occurrence";"Provisional figure";"2020";"8333";""
"Sweden";"2020";"Total";"February";"Data tabulated by year of occurrence";"Provisional figure";"2020";"7511";""
"Sweden";"2020";"Total";"March";"Data tabulated by year of occurrence";"Provisional figure";"2020";"8510";""
"Sweden";"2020";"Total";"April";"Data tabulated by year of occurrence";"Provisional figure";"2020";"10515";""
"Sweden";"2020";"Total";"May";"Data tabulated by year of occurrence";"Provisional figure";"2020";"8887";""
"Sweden";"2019";"Total";"January";"Data tabulated by year of occurrence";"Provisional figure";"2019";"8329";""
"Sweden";"2019";"Total";"February";"Data tabulated by year of occurrence";"Provisional figure";"2019";"7446";""
"Sweden";"2019";"Total";"March";"Data tabulated by year of occurrence";"Provisional figure";"2019";"7764";""
"Sweden";"2019";"Total";"April";"Data tabulated by year of occurrence";"Provisional figure";"2019";"7335";""
"Sweden";"2019";"Total";"May";"Data tabulated by year of occurrence";"Provisional figure";"2019";"7116";""
"Sweden";"2019";"Total";"July";"Data tabulated by year of occurrence";"Provisional figure";"2019";"6907";""
"Sweden";"2019";"Total";"August";"Data tabulated by year of occurrence";"Provisional figure";"2019";"6987";""
"Sweden";"2019";"Total";"September";"Data tabulated by year of occurrence";"Provisional figure";"2019";"6819";""
"Sweden";"2019";"Total";"October";"Data tabulated by year of occurrence";"Provisional figure";"2019";"7506";""
"Sweden";"2019";"Total";"November";"Data tabulated by year of occurrence";"Provisional figure";"2019";"7418";""
"Sweden";"2018";"Total";"Total";"Data tabulated by year of occurrence";"Provisional figure";"2019";"92185";""
"Sweden";"2018";"Total";"January";"Data tabulated by year of occurrence";"Provisional figure";"2019";"8803";""
"Sweden";"2018";"Total";"February";"Data tabulated by year of occurrence";"Provisional figure";"2019";"8337";""
"Sweden";"2018";"Total";"March";"Data tabulated by year of occurrence";"Provisional figure";"2019";"9437";""
