"Country or Area";"Year";"Area";"Sex";"Age";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Sweden";"2019";"Total";"Both Sexes";"Total";"Estimate - de jure";"Final figure, complete";"2020";"10230185";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"0";"Estimate - de jure";"Final figure, complete";"2020";"116839";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"0 - 4";"Estimate - de jure";"Final figure, complete";"2020";"604498";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"1";"Estimate - de jure";"Final figure, complete";"2020";"118762";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"1 - 4";"Estimate - de jure";"Final figure, complete";"2020";"487659";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"2";"Estimate - de jure";"Final figure, complete";"2020";"123525";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"3";"Estimate - de jure";"Final figure, complete";"2020";"121822";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"4";"Estimate - de jure";"Final figure, complete";"2020";"123550";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"5";"Estimate - de jure";"Final figure, complete";"2020";"122475";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"5 - 9";"Estimate - de jure";"Final figure, complete";"2020";"619473";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"6";"Estimate - de jure";"Final figure, complete";"2020";"123497";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"7";"Estimate - de jure";"Final figure, complete";"2020";"122487";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"8";"Estimate - de jure";"Final figure, complete";"2020";"127148";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"9";"Estimate - de jure";"Final figure, complete";"2020";"123866";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"10";"Estimate - de jure";"Final figure, complete";"2020";"122606";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"10 - 14";"Estimate - de jure";"Final figure, complete";"2020";"595758";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"11";"Estimate - de jure";"Final figure, complete";"2020";"120841";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"12";"Estimate - de jure";"Final figure, complete";"2020";"120095";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"13";"Estimate - de jure";"Final figure, complete";"2020";"116282";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"14";"Estimate - de jure";"Final figure, complete";"2020";"115934";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"15";"Estimate - de jure";"Final figure, complete";"2020";"114377";"1,2"
"Sweden";"2019";"Total";"Both Sexes";"15 - 19";"Estimate - de jure";"Final figure, complete";"2020";"559513";"1,2"
